beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Oettinger Hefeweißbier Naturtrüb / Weissbier,""Oettinger Brauerei"",Hefeweizen,4.9,11,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.75,""2016-09-18 22:42:38"",https://untappd.com/c/362076804,https://untappd.com/beer/39869,https://untappd.com/brewery/6745,Germany,Oettingen,Bayern,,,Bottle,362076804,39869,6745,https://untappd.s3.amazonaws.com/photo/2016_09_18/f6ed0e0a3d07aef5b2602dfb701fbe53_raw.jpg,3.27,3.28,,1,0"
"Primus,""Brouwerij Haacht Brasserie"",""Lager - Euro Pale"",5.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.75,""2016-09-20 23:29:33"",https://untappd.com/c/362564002,https://untappd.com/beer/31870,https://untappd.com/brewery/3426,Belgium,Boortmeerbeek,""Vlaams Brabant"",,Е-Сити,Can,362564002,31870,3426,https://untappd.s3.amazonaws.com/photo/2016_09_20/212a4c94a181d0bd2fc3fdb6926ea5dc_raw.jpg,2.84,2.85,,0,0"
"Benediktiner Weissbier,""Benediktiner Weißbräu"",Hefeweizen,5.4,13,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.75,""2016-09-23 22:56:55"",https://untappd.com/c/363412628,https://untappd.com/beer/103362,https://untappd.com/brewery/139655,Germany,""82488 Ettal"",,,,Can,363412628,103362,139655,https://untappd.s3.amazonaws.com/photo/2016_09_23/ad3c1e5692aa0db63c1b2402de3072f5_raw.jpg,3.56,3.56,,0,0"
"Benediktiner Hell,""Benediktiner Weißbräu"",""Lager - Helles"",5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.75,""2016-09-25 22:49:29"",https://untappd.com/c/364681913,https://untappd.com/beer/1140001,https://untappd.com/brewery/139655,Germany,""82488 Ettal"",,,,Can,364681913,1140001,139655,https://untappd.s3.amazonaws.com/photo/2016_09_25/68a7a9ff70c79356f217557a3ee799c9_raw.jpg,3.36,3.36,,0,0"
"Schöfferhofer Dunkles Hefeweizen,""Radeberger Gruppe"",Dunkelweizen,5,11,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.25,""2016-09-26 22:07:21"",https://untappd.com/c/364946838,https://untappd.com/beer/30432,https://untappd.com/brewery/4936,Germany,""Frankfurt am Main"",Hessen,,,Bottle,364946838,30432,4936,https://untappd.s3.amazonaws.com/photo/2016_09_26/8920776fc82dc19214ed93b09db3ab89_raw.jpg,3.4,3.41,,1,0"
"Лецiшча / Lecišča,""TRYE Beer"",""Belgian Blonde"",6.6,30,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.25,""2016-09-27 21:56:05"",https://untappd.com/c/365149625,https://untappd.com/beer/1397589,https://untappd.com/brewery/248415,Belarus,""Новое Поле"",""Минская область"",,,Bottle,365149625,1397589,248415,https://untappd.s3.amazonaws.com/photo/2016_09_27/8c6e577b0ba3078ab749bce36b834256_raw.jpg,3.36,3.47,,0,0"
"Чорная Панна / Chornaja Panna,""TRYE Beer"",""Porter - Other"",5.5,16,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.75,""2016-09-29 22:19:31"",https://untappd.com/c/365652198,https://untappd.com/beer/1733173,https://untappd.com/brewery/248415,Belarus,""Новое Поле"",""Минская область"",,,Bottle,365652198,1733173,248415,https://untappd.s3.amazonaws.com/photo/2016_09_29/bd5e988d351af638fc9427212ca8c757_raw.jpg,3.11,3.33,,0,0"
"Прамень / Pramen,""TRYE Beer"",""Pale Ale - International"",5,32,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,5,""2016-10-01 22:26:30"",https://untappd.com/c/366624687,https://untappd.com/beer/1622881,https://untappd.com/brewery/248415,Belarus,""Новое Поле"",""Минская область"",,,Bottle,366624687,1622881,248415,https://untappd.s3.amazonaws.com/photo/2016_10_01/b58af5fbded4809531b87483d7bbf347_raw.jpg,3.14,3.36,,1,0"
"Notorious,""O'Hara's Brewery "",""IPA - Red"",5,40,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.25,""2016-10-02 22:46:13"",https://untappd.com/c/367252034,https://untappd.com/beer/1414197,https://untappd.com/brewery/342,Ireland,Bagenalstown,Leinster,,""BeerCap barshop"",Bottle,367252034,1414197,342,https://untappd.s3.amazonaws.com/photo/2016_10_02/efeaee2c74f952bb9f053ad493a76424_raw.jpg,3.46,3.48,,0,0"
"Naudalus Tumšais,""Latgales Alus"",""Lager - Euro Dark"",5.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.25,""2016-10-04 22:31:04"",https://untappd.com/c/367715166,https://untappd.com/beer/1347262,https://untappd.com/brewery/5891,Latvia,Daugavpils,Latgale,,,Bottle,367715166,1347262,5891,https://untappd.s3.amazonaws.com/photo/2016_10_04/f6755cc025737faadcd304cfee5781c1_raw.jpg,3.22,3.48,,0,0"
"Melnā Pērle,""Latgales Alus"",""Specialty Grain"",5.5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.75,""2016-10-07 23:04:11"",https://untappd.com/c/368624117,https://untappd.com/beer/1543911,https://untappd.com/brewery/5891,Latvia,Daugavpils,Latgale,,,Bottle,368624117,1543911,5891,https://untappd.s3.amazonaws.com/photo/2016_10_07/08ac8ef6fecea93757c8fd9dd641b309_raw.jpg,3.2,3.33,,0,0"
"Faro,""Brouwerij Lindemans"",""Lambic - Faro"",4.5,12,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.75,""2016-10-09 22:33:53"",https://untappd.com/c/369906760,https://untappd.com/beer/7897,https://untappd.com/brewery/288,Belgium,Vlezenbeek,Vlaanderen,,,Bottle,369906760,7897,288,https://untappd.s3.amazonaws.com/photo/2016_10_09/7500d1b0ed46c59b39774d3aadb5141f_raw.jpg,3.5,3.5,,0,0"
"Pilot Rock Porter,""Caldera Brewing Company"",""Porter - Other"",6,27,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.5,""2016-10-09 23:29:57"",https://untappd.com/c/369941334,https://untappd.com/beer/20423,https://untappd.com/brewery/328,""United States"",Ashland,OR,,,Can,369941334,20423,328,https://untappd.s3.amazonaws.com/photo/2016_10_09/7a6b6f3e67b5ef9ab9122b2753aa1211_raw.jpg,3.66,3.66,,0,0"
"Naudalus Īpašais,""Latgales Alus"",""Lager - Vienna"",5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2016-10-11 23:05:36"",https://untappd.com/c/370455323,https://untappd.com/beer/1392066,https://untappd.com/brewery/5891,Latvia,Daugavpils,Latgale,,,Bottle,370455323,1392066,5891,https://untappd.s3.amazonaws.com/photo/2016_10_11/bf38bd3c4cfba7f3a2577cdfb6299ad0_raw.jpg,2.91,3.33,,0,0"
"Медовуха Копченая Слива,""Dvinsky Brovar (Двинский Бровар)"",""Mead - Melomel"",5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.75,""2016-10-12 20:51:13"",https://untappd.com/c/370658287,https://untappd.com/beer/1600826,https://untappd.com/brewery/55466,Belarus,Vitebsk,""Витебская область"",,,Bottle,370658287,1600826,55466,https://untappd.s3.amazonaws.com/photo/2016_10_12/32170ec4140cd481bae206c306ba2451_raw.jpg,2.77,3.22,,1,0"
"Fire Catcher,""Wychwood Brewery"",""Golden Ale"",3.5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,5,""2016-10-13 00:04:27"",https://untappd.com/c/370705572,https://untappd.com/beer/1086278,https://untappd.com/brewery/1376,England,Witney,Oxfordshire,,,Bottle,370705572,1086278,1376,https://untappd.s3.amazonaws.com/photo/2016_10_12/517ed0c4d8d89397550ce8d598deca2a_raw.jpg,3.34,3.35,,1,0"
"Paulaner Oktoberfest Bier,""Paulaner Brauerei"",Festbier,6,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2016-10-13 21:59:09"",https://untappd.com/c/370931811,https://untappd.com/beer/78539,https://untappd.com/brewery/972,Germany,Munich,Bayern,,Е-Сити,Bottle,370931811,78539,972,https://untappd.s3.amazonaws.com/photo/2016_10_13/39c588c19682e28831f653f257f18c27_raw.jpg,3.54,3.54,,1,0"
"Freebird,""O'Hara's Brewery "",""IPA - White"",5,40,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.25,""2016-10-14 22:59:51"",https://untappd.com/c/371312523,https://untappd.com/beer/1562308,https://untappd.com/brewery/342,Ireland,Bagenalstown,Leinster,,""BeerCap barshop"",Bottle,371312523,1562308,342,https://untappd.s3.amazonaws.com/photo/2016_10_14/bdbc48d9d3be2fc8cb7b8bfe5d3ee021_raw.jpg,3.33,3.36,,0,0"
"Belovezhskoe (Беловежское),""Brestskoe Pivo (Брестское Пиво)"",""Lager - Pale"",4.4,0,,Горки,,""Магілёўская вобл."",Беларусь,54.2897,30.987,3,""2016-10-16 23:03:12"",https://untappd.com/c/372555696,https://untappd.com/beer/353237,https://untappd.com/brewery/12391,Belarus,Brest,""Брестская область"",,,Bottle,372555696,353237,12391,https://untappd.s3.amazonaws.com/photo/2016_10_16/d9ec400cf6ccfb8ef4d514c2422d36ab_raw.jpg,2.6,3.1,,0,0"
"Стары бровар,""Brestskoe Pivo (Брестское Пиво)"",""Lager - Euro Pale"",4.5,0,,Горки,,""Магілёўская вобл."",Беларусь,54.2897,30.987,2.5,""2016-10-18 23:04:15"",https://untappd.com/c/373022455,https://untappd.com/beer/1396017,https://untappd.com/brewery/12391,Belarus,Brest,""Брестская область"",,,Bottle,373022455,1396017,12391,https://untappd.s3.amazonaws.com/photo/2016_10_18/0d176cb121474e62817ec8e7ccf468c5_raw.jpg,2.11,2.92,,0,0"
"Authentic Pub Belgium,""Krinitsa (Криница)"",""Fruit Beer"",4.4,0,,Горки,,""Магілёўская вобл."",Беларусь,54.2897,30.987,2.75,""2016-10-21 22:35:10"",https://untappd.com/c/373889672,https://untappd.com/beer/1144856,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,Евроопт,Bottle,373889672,1144856,5860,https://untappd.s3.amazonaws.com/photo/2016_10_21/e5877b959190b0e1b23981eb43310bb5_raw.jpg,2.59,3.23,,0,0"
"Пивная карта. APA,""Krinitsa (Криница)"",""Pale Ale - International"",5,46,,Горки,,""Магілёўская вобл."",Беларусь,54.2897,30.987,5,""2016-10-22 16:17:50"",https://untappd.com/c/374304040,https://untappd.com/beer/1694501,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,,Bottle,374304040,1694501,5860,,3.27,3.33,,0,0"
"Kult Weissbier Dunkel,""Krinitsa (Криница)"",Dunkelweizen,5,0,,Горки,,""Магілёўская вобл."",Беларусь,54.2897,30.987,5,""2016-10-22 22:37:15"",https://untappd.com/c/374518981,https://untappd.com/beer/1204657,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,,Bottle,374518981,1204657,5860,,3.49,3.54,,0,0"
"Authentic Pub Japanese,""Krinitsa (Криница)"",""Ginger Beer"",4.4,0,,Горки,,""Магілёўская вобл."",Беларусь,54.2897,30.987,3.5,""2016-10-22 23:01:47"",https://untappd.com/c/374543634,https://untappd.com/beer/1144925,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,Евроопт,Bottle,374543634,1144925,5860,https://untappd.s3.amazonaws.com/photo/2016_10_22/24d29edc761a3b74d3004cd4efe551f5_raw.jpg,2.56,3.22,,0,0"
"Lidski Gingerbread kvass (Квас Лидский Пряничный (медово-имбирный)),""Lidskoe Pivo (Лидское Пиво)"",Kvass,1.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2016-10-24 21:50:25"",https://untappd.com/c/375410466,https://untappd.com/beer/1784058,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,375410466,1784058,33625,,3.23,3.54,,0,0"
"Медовуха Травная,""Dvinsky Brovar (Двинский Бровар)"",""Mead - Metheglin"",5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.5,""2016-10-25 21:26:37"",https://untappd.com/c/375602040,https://untappd.com/beer/1652506,https://untappd.com/brewery/55466,Belarus,Vitebsk,""Витебская область"",,,Bottle,375602040,1652506,55466,https://untappd.s3.amazonaws.com/photo/2016_10_25/7ea38b08e8b4b03f3b4a69f16755e333_raw.jpg,2.95,3.35,,0,0"
"'Opsession,""O'Hara's Brewery "",""IPA - Session / India Session Ale"",4,30,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2016-10-28 21:06:37"",https://untappd.com/c/376418640,https://untappd.com/beer/1511217,https://untappd.com/brewery/342,Ireland,Bagenalstown,Leinster,,""BeerCap barshop"",Bottle,376418640,1511217,342,https://untappd.s3.amazonaws.com/photo/2016_10_28/7eaa6b410813b4ae7483e2c94a200eee_raw.jpg,3.4,3.43,,0,0"
"Krušovice Řízná 10 / Královská 10 / Světlé,""Heineken Česká Republika"",""Pilsner - Czech"",4.2,23,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.25,""2016-10-31 22:19:29"",https://untappd.com/c/377909318,https://untappd.com/beer/23585,https://untappd.com/brewery/9774,""Czech Republic"",Krušovice,""Střední Čechy"",,,Bottle,377909318,23585,9774,https://untappd.s3.amazonaws.com/photo/2016_10_31/6dc1f3c8ad72d94a84c58d5385a7a073_raw.jpg,3.03,3.03,,0,0"
"Belhaven Black,""Belhaven Brewery"",""Stout - Irish Dry"",4.2,10,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.25,""2016-11-03 22:39:12"",https://untappd.com/c/378627725,https://untappd.com/beer/136568,https://untappd.com/brewery/98,Scotland,Dunbar,""East Lothian"",,""BeerCap barshop"",Bottle,378627725,136568,98,https://untappd.s3.amazonaws.com/photo/2016_11_03/2d7f7fd8bbc534a76b9042d28695f439_raw.jpg,3.59,3.59,,0,0"
"Tuborg Grøn,""Carlsberg Group"",""Pilsner - Other"",4.6,18,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2016-11-04 23:11:06"",https://untappd.com/c/378988954,https://untappd.com/beer/6797,https://untappd.com/brewery/344,Denmark,Copenhagen,""Region Hovedstaden"",,,Bottle,378988954,6797,344,https://untappd.s3.amazonaws.com/photo/2016_11_04/5d532920ca952db61921e6c8edd6dbda_raw.jpg,2.8,2.81,,1,0"
"Hofbräu Oktoberfestbier,""Staatliches Hofbräuhaus München"",Festbier,6.3,26,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2016-11-07 22:44:08"",https://untappd.com/c/380462315,https://untappd.com/beer/40139,https://untappd.com/brewery/5566,Germany,Munich,Bayern,,,Bottle,380462315,40139,5566,https://untappd.s3.amazonaws.com/photo/2016_11_07/3f90f33084ef89f723eba35b412c21e1_raw.jpg,3.59,3.59,,0,0"
"Naudalus Gaisais,""Latgales Alus"",""Lager - Euro Pale"",4.8,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2016-11-09 19:23:24"",https://untappd.com/c/380890278,https://untappd.com/beer/1160385,https://untappd.com/brewery/5891,Latvia,Daugavpils,Latgale,,,Bottle,380890278,1160385,5891,https://untappd.s3.amazonaws.com/photo/2016_11_09/0ab80400f68d7873a4f158a2f59a3395_raw.jpg,2.9,3.39,,0,0"
"Maisel's Weisse Dunkel,""Brauerei Gebr. Maisel"",Dunkelweizen,5,12,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4,""2016-11-09 22:54:58"",https://untappd.com/c/380920173,https://untappd.com/beer/62309,https://untappd.com/brewery/209,Germany,Bayreuth,Bayern,,,Bottle,380920173,62309,209,https://untappd.s3.amazonaws.com/photo/2016_11_09/b459274a2df0c184e6217124d789f192_raw.jpg,3.57,3.57,,0,0"
"Polish Hop(e),Maryensztadt,""Pale Ale - International"",5.5,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4,""2016-11-10 22:54:50"",https://untappd.com/c/381148223,https://untappd.com/beer/1390889,https://untappd.com/brewery/247081,Poland,Zwoleń,""województwo mazowieckie"",,,Bottle,381148223,1390889,247081,https://untappd.s3.amazonaws.com/photo/2016_11_10/66d53309890ac78f1d7ac1cc60af857d_raw.jpg,3.33,3.45,,0,0"
"Hop Adventure Series Aramis Hop,""O'Hara's Brewery "",""IPA - American"",5,35,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2016-11-12 23:04:43"",https://untappd.com/c/382142961,https://untappd.com/beer/1519993,https://untappd.com/brewery/342,Ireland,Bagenalstown,Leinster,,""BeerCap barshop"",Bottle,382142961,1519993,342,https://untappd.s3.amazonaws.com/photo/2016_11_12/4447e12bfab4edc07362b8fa39ae715c_raw.jpg,3.3,3.37,,0,0"
"Aktien Zwick'l Kellerbier,""Bayreuther Bierbrauerei"",""Kellerbier / Zwickelbier"",5.3,18,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2016-11-14 21:33:21"",https://untappd.com/c/383030687,https://untappd.com/beer/63263,https://untappd.com/brewery/11687,Germany,Bayreuth,Bayern,,,Bottle,383030687,63263,11687,https://untappd.s3.amazonaws.com/photo/2016_11_14/5efa8ab36e4456c7388a3e9f0ba75946_raw.jpg,3.52,3.52,,1,0"
" Celebration Lager (Sváteční ležák),""Bernard Family Brewery"",""Pilsner - Czech"",5,34,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.75,""2016-11-16 22:02:21"",https://untappd.com/c/383441784,https://untappd.com/beer/14628,https://untappd.com/brewery/3831,""Czech Republic"",Humpolec,Vysočina,,,Bottle,383441784,14628,3831,https://untappd.s3.amazonaws.com/photo/2016_11_16/3625fa568a03166b1cb17de05001d67b_raw.jpg,3.32,3.32,,1,0"
"Ginger Beer (2016),""Lidskoe Pivo (Лидское Пиво)"",""Ginger Beer"",4.2,15,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2016-11-18 22:37:39"",https://untappd.com/c/384026835,https://untappd.com/beer/1794381,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,384026835,1794381,33625,https://untappd.s3.amazonaws.com/photo/2016_11_18/0f70c56bbfb933d52d9a53373435af92_raw.jpg,2.92,3.14,,0,0"
"India Pale Ale (IPA),""Lidskoe Pivo (Лидское Пиво)"",""IPA - International"",5.2,40,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,5,""2016-11-18 22:59:49"",https://untappd.com/c/384037546,https://untappd.com/beer/1794401,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,384037546,1794401,33625,https://untappd.s3.amazonaws.com/photo/2016_11_18/791631f827046e1b47162fd6fd24cb18_raw.jpg,3.25,3.31,,0,0"
"LIDSKAE Zimovae (ЛІДСКАЕ Зiмовае) (2016),""Lidskoe Pivo (Лидское Пиво)"",""Lager - Winter"",4.8,15,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2016-11-20 22:05:39"",https://untappd.com/c/385168063,https://untappd.com/beer/1804709,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,385168063,1804709,33625,https://untappd.s3.amazonaws.com/photo/2016_11_20/1ca8f60671090c9a83efee164a98acd3_raw.jpg,3.22,3.4,,0,0"
"Engel Gold,""Biermanufaktur ENGEL"",""Lager - Helles"",5.4,20,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2016-11-22 21:52:29"",https://untappd.com/c/385668305,https://untappd.com/beer/46423,https://untappd.com/brewery/19077,Germany,Crailsheim,Baden-Württemberg,,,Bottle,385668305,46423,19077,https://untappd.s3.amazonaws.com/photo/2016_11_22/ddeb0a8bd2ffe10d4c0997084fdb2fda_raw.jpg,3.21,3.24,,0,0"
"Алiварыя Калядная Ноч (Alivaria Kalyadnaya noch),""Пивоваренная компания «Аливария» (Alivaria Brewery)"",""Lager - Winter"",4.8,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.5,""2016-11-25 22:31:11"",https://untappd.com/c/386892648,https://untappd.com/beer/1782027,https://untappd.com/brewery/5861,Belarus,Минск,Minsk,,,Bottle,386892648,1782027,5861,https://untappd.s3.amazonaws.com/photo/2016_11_25/a196e4d0c270b90097945f70e6c9f7fe_raw.jpg,3.14,3.41,,0,0"
"O'Hara's Irish Red,""O'Hara's Brewery "",""Red Ale - Irish"",4.3,25,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.25,""2016-11-27 23:02:46"",https://untappd.com/c/388125326,https://untappd.com/beer/13675,https://untappd.com/brewery/342,Ireland,Bagenalstown,Leinster,,,Bottle,388125326,13675,342,https://untappd.s3.amazonaws.com/photo/2016_11_27/758e04237e7c0dc184d1eac9504bdcaf_raw.jpg,3.32,3.33,,2,0"
"O'Hara's Irish Craft Lager,""O'Hara's Brewery "",""Lager - Helles"",4.5,32,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2016-11-28 20:27:56"",https://untappd.com/c/388354645,https://untappd.com/beer/411804,https://untappd.com/brewery/342,Ireland,Bagenalstown,Leinster,,,Bottle,388354645,411804,342,https://untappd.s3.amazonaws.com/photo/2016_11_28/7ec014a3fa89ed3a44a811611d151a94_raw.jpg,3.22,3.25,,1,0"
"Cider Fizz - Аpple With Vanilla ,""Lidskoe Pivo (Лидское Пиво)"",""Cider - Traditional"",4.7,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4,""2016-11-29 20:20:13"",https://untappd.com/c/388527153,https://untappd.com/beer/1830118,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,388527153,1830118,33625,https://untappd.s3.amazonaws.com/photo/2016_11_29/c69341c6960bf1c7aba5996ee5d530b9_raw.jpg,2.74,3.53,,1,0"
"Zhiguli Barnoe Barhatnoe (Жигули Барное Бархатное),""Moscow Brewing Company (Московская Пивоваренная Компания)"",""Dark Ale"",4,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2016-11-29 22:36:33"",https://untappd.com/c/388546709,https://untappd.com/beer/446241,https://untappd.com/brewery/7165,Russia,Mytishchi,""Московская область"",,,Bottle,388546709,446241,7165,https://untappd.s3.amazonaws.com/photo/2016_11_29/cd97c5f409c8c8584ff5d64c9c24e864_raw.jpg,3.11,3.18,,1,0"
"Bayreuther Hell,""Bayreuther Bierbrauerei"",""Lager - Helles"",4.9,17,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2016-11-30 21:37:13"",https://untappd.com/c/388737096,https://untappd.com/beer/116296,https://untappd.com/brewery/11687,Germany,Bayreuth,Bayern,,,Bottle,388737096,116296,11687,https://untappd.s3.amazonaws.com/photo/2016_11_30/2c8f0f14b9689c29b60236bbbfc934ad_raw.jpg,3.51,3.51,,1,0"
"Zhiguli Barnoe (Жигули Барное),""Moscow Brewing Company (Московская Пивоваренная Компания)"",""Lager - Pale"",4.9,20,,Мозырь,,""Гомельская вобл."",Беларусь,52.0462,29.26,3.5,""2016-12-02 20:35:32"",https://untappd.com/c/389272539,https://untappd.com/beer/26210,https://untappd.com/brewery/7165,Russia,Mytishchi,""Московская область"",,,Bottle,389272539,26210,7165,https://untappd.s3.amazonaws.com/photo/2016_12_02/2b5bd5883745b270cc8a85429e96efa4_raw.jpg,2.96,2.97,,2,0"
"Vyatich Bezalkogolnoe (Вятич Безалкогольное),""Vyatich (Вятич)"",""Non-Alcoholic Beer"",0.5,0,,Мозырь,,""Гомельская вобл."",Беларусь,52.0462,29.26,2,""2016-12-03 17:25:03"",https://untappd.com/c/389742435,https://untappd.com/beer/1694470,https://untappd.com/brewery/30700,Russia,Kirov,""Кировская область"",,,Bottle,389742435,1694470,30700,https://untappd.s3.amazonaws.com/photo/2016_12_03/693d3fdf6e70dc09ac705debae6cd66f_raw.jpg,2.29,3.52,,0,0"
"Vyatich Nefiltrovannoe (Вятич Нефильтрованное),""Vyatich (Вятич)"",""Lager - Pale"",4.9,0,,Мозырь,,""Гомельская вобл."",Беларусь,52.0462,29.26,3,""2016-12-03 21:21:31"",https://untappd.com/c/389825073,https://untappd.com/beer/660710,https://untappd.com/brewery/30700,Russia,Kirov,""Кировская область"",,,Bottle,389825073,660710,30700,https://untappd.s3.amazonaws.com/photo/2016_12_03/c544aa4c4a6edca304b86dbebb269ba0_raw.jpg,2.88,3.45,,1,0"
"Barhatnoe (Бархатное),""Vyatich (Вятич)"",""Lager - Munich Dunkel"",4.5,17,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2016-12-05 22:02:56"",https://untappd.com/c/390761180,https://untappd.com/beer/427739,https://untappd.com/brewery/30700,Russia,Kirov,""Кировская область"",,,Bottle,390761180,427739,30700,https://untappd.s3.amazonaws.com/photo/2016_12_05/20cf7c32e7d62dde9fe3cdc3bbc6ba9e_raw.jpg,2.87,3.2,,0,0"
"Vyatich Krepkoe (Вятич Крепкое),""Vyatich (Вятич)"",""Lager - Euro Strong"",6,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2016-12-06 21:25:12"",https://untappd.com/c/390958601,https://untappd.com/beer/411889,https://untappd.com/brewery/30700,Russia,Kirov,""Кировская область"",,,Bottle,390958601,411889,30700,https://untappd.s3.amazonaws.com/photo/2016_12_06/12daf1b3025307a8504acca49038bc89_raw.jpg,2.93,3.46,,1,0"
"Zhigulevskoe Export (Жигулевское Экспорт),""Vyatich (Вятич)"",""Lager - Pale"",4.7,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2016-12-07 20:05:26"",https://untappd.com/c/391168456,https://untappd.com/beer/205994,https://untappd.com/brewery/30700,Russia,Kirov,""Кировская область"",,,Bottle,391168456,205994,30700,https://untappd.s3.amazonaws.com/photo/2016_12_07/7fa7240b30f5b8bf9ab3524c0c5904a0_raw.jpg,2.89,3.35,,1,0"
"Vyatich Yantarnoe (Вятич Янтарное),""Vyatich (Вятич)"",""Lager - Euro Pale"",4.7,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2016-12-07 23:36:40"",https://untappd.com/c/391208708,https://untappd.com/beer/208544,https://untappd.com/brewery/30700,Russia,Kirov,""Кировская область"",,,Bottle,391208708,208544,30700,https://untappd.s3.amazonaws.com/photo/2016_12_07/ce8e0de759bd2553fe9d518b7d710652_raw.jpg,2.67,3.24,,1,0"
"India Pale Ale (IPA),""Lidskoe Pivo (Лидское Пиво)"",""IPA - International"",5.2,40,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,5,""2016-12-08 22:31:42"",https://untappd.com/c/391450228,https://untappd.com/beer/1794401,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,391450228,1794401,33625,,3.25,3.31,,1,0"
"India Pale Ale (IPA),""Lidskoe Pivo (Лидское Пиво)"",""IPA - International"",5.2,40,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,5,""2016-12-08 22:36:32"",https://untappd.com/c/391451469,https://untappd.com/beer/1794401,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,391451469,1794401,33625,,3.25,3.31,,1,0"
